,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,age,gender,raceethnicity,month,city,state,cause,armed,county_bucket,nat_bucket,age-decade,age-group,lawenforcementagency,lawenforcementagency_fixed,raceethnicityW
0,0,0,0,16,Male,Black,February,Millbrook,AL,Gunshot,No,3.0,3.0,age 10-20,Teenager,Police Department,Police Department,Non White
1,1,1,1,16,Male,White,February,Essex,MD,Gunshot,Firearm,1.0,2.0,age 10-20,Teenager,Police Department,Police Department,White
2,2,2,2,16,Male,Black,March,Jacksonville,FL,Gunshot,Firearm,1.0,1.0,age 10-20,Teenager,Sheriff's Office,Sheriff's Office,Non White
3,3,3,3,17,Male,White,May,Grand Junction,CO,Gunshot,Firearm,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,White
4,4,4,4,17,Male,White,March,Roxand Township,MI,Gunshot,Non-lethal firearm,5.0,4.0,age 10-20,Teenager,Sheriff's Office,Sheriff's Office,White
5,5,5,5,17,Male,White,February,Bay City,MI,Gunshot,Knife,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,White
6,6,6,6,17,Female,Hispanic/Latino,January,Denver,CO,Gunshot,Firearm,3.0,3.0,age 10-20,Teenager,Police Department,Police Department,Non White
7,7,7,7,17,Male,Black,April,Zion,IL,Gunshot,Firearm,1.0,3.0,age 10-20,Teenager,Police Department,Police Department,Non White
8,8,8,8,17,Female,White,January,Longview,TX,Gunshot,Firearm,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,White
9,9,9,9,18,Male,White,May,St Petersburg,FL,Gunshot,Firearm,3.0,3.0,age 10-20,Teenager,Police Department,Police Department,White
10,10,10,10,18,Male,Black,March,Cleveland,OH,Gunshot,Firearm,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,Non White
11,11,11,11,18,Male,White,May,Wake Forest,NC,Gunshot,No,2.0,4.0,age 10-20,Teenager,Police Department,Police Department,White
12,12,12,12,18,Male,Black,April,Chicago,IL,Gunshot,No,2.0,2.0,age 10-20,Teenager,Police Department,Police Department,Non White
13,13,13,13,18,Male,White,January,Guthrie,OK,Gunshot,Non-lethal firearm,2.0,2.0,age 10-20,Teenager,State Police,State Police,White
14,14,14,14,18,Male,White,May,Trenton,MI,Gunshot,No,5.0,4.0,age 10-20,Teenager,Police Department,Police Department,White
15,15,15,15,18,Male,Hispanic/Latino,January,Key Largo,FL,Unknown,Knife,3.0,3.0,age 10-20,Teenager,Sheriff's Office,Sheriff's Office,Non White
16,16,16,16,18,Male,Black,April,Portsmouth,VA,Gunshot,No,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,Non White
17,17,17,17,19,Male,Unknown,May,Cottonwood,AZ,Gunshot,No,1.0,2.0,age 10-20,Teenager,Sheriff's Office,Sheriff's Office,Non White
18,18,18,18,19,Male,Hispanic/Latino,April,Long Beach,CA,Gunshot,No,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,Non White
19,19,19,19,19,Male,Black,January,St Louis,MO,Gunshot,Firearm,1.0,1.0,age 10-20,Teenager,Police Department,Police Department,Non White
20,20,20,20,19,Male,White,January,Kaumakani,HI,Struck by vehicle,Knife,5.0,4.0,age 10-20,Teenager,Police Department,Police Department,White
21,21,21,21,19,Male,Black,March,Madison,WI,Gunshot,Firearm,2.0,3.0,age 10-20,Teenager,Police Department,Police Department,Non White
22,22,22,22,20,Male,White,March,Onalaska,TX,Gunshot,No,3.0,2.0,age 20-30,Young,Police Department,Police Department,White
23,23,23,23,20,Male,Unknown,May,Long Beach,CA,Gunshot,Firearm,4.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
24,24,24,24,20,Male,White,March,Sumas,WA,Gunshot,Firearm,3.0,3.0,age 20-30,Young,US Border Patrol,US Border Patrol,White
25,25,25,25,20,Female,Black,February,Charlotte,NC,Gunshot,Firearm,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
26,26,26,26,20,Male,Black,March,Joliet,IL,Gunshot,Firearm,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
27,27,27,27,20,Male,Black,April,Detroit,MI,Gunshot,Firearm,1.0,1.0,age 20-30,Young,Immigration and Customs Enforcement,Immigration and Customs Enforcement,Non White
28,28,28,28,20,Male,Black,April,Trinidad,CO,Gunshot,Firearm,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
29,29,29,29,21,Male,Hispanic/Latino,February,San Francisco,CA,Gunshot,Vehicle,2.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
30,30,30,30,21,Male,Hispanic/Latino,February,Kansas City,KS,Gunshot,Other,2.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
31,31,31,31,21,Male,Hispanic/Latino,April,Corning,CA,Gunshot,Knife,4.0,3.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,Non White
32,32,32,32,21,Male,Hispanic/Latino,March,Baytown,TX,Gunshot,Other,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
33,33,33,33,21,Male,Black,March,Bay Shore,NY,Gunshot,Firearm,1.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
34,34,34,34,21,Male,White,March,Cottonwood,AZ,Gunshot,Firearm,1.0,2.0,age 20-30,Young,Police Department,Police Department,White
35,35,35,35,21,Male,Black,May,Cerritos,CA,Gunshot,Firearm,5.0,5.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,Non White
36,36,36,36,21,Male,Black,January,Muskogee,OK,Gunshot,Firearm,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
37,37,37,37,22,Male,Hispanic/Latino,March,Bakersfield,CA,Gunshot,Firearm,4.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
38,38,38,38,22,Male,Hispanic/Latino,May,El Paso,TX,Gunshot,Firearm,3.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
39,39,39,39,22,Male,Hispanic/Latino,April,El Paso,TX,Gunshot,Knife,5.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
40,40,40,40,22,Male,White,January,Chatham,MA,Struck by vehicle,Unknown,4.0,4.0,age 20-30,Young,Police Department,Police Department,White
41,41,41,41,22,Male,White,April,Navarre,FL,Gunshot,Firearm,3.0,4.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,White
42,42,42,42,22,Male,Black,April,New Orleans,LA,Gunshot,Other,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
43,43,43,43,22,Male,Hispanic/Latino,January,Chandler,AZ,Gunshot,No,3.0,3.0,age 20-30,Young,Police Department,Police Department,Non White
44,44,44,44,22,Male,Black,January,Savannah,GA,Death in custody,Other,2.0,1.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,Non White
45,45,45,45,22,Male,Hispanic/Latino,March,Rio Linda,CA,Gunshot,Knife,3.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
46,46,46,46,22,Male,Black,April,Miami,FL,Gunshot,Knife,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
47,47,47,47,23,Male,White,April,Indianapolis,IN,Gunshot,Non-lethal firearm,3.0,2.0,age 20-30,Young,Police Department,Police Department,White
48,48,48,48,23,Male,Unknown,January,South Gate,CA,Gunshot,Firearm,2.0,2.0,age 20-30,Young,Police Department,Police Department,Non White
49,49,49,49,23,Male,White,March,Port Wentworth,GA,Gunshot,Firearm,5.0,4.0,age 20-30,Young,Police Department,Police Department,White
50,50,50,50,23,Male,Hispanic/Latino,January,Wichita,KS,Gunshot,Knife,2.0,2.0,age 20-30,Young,Police Department,Police Department,Non White
51,51,51,51,23,Male,White,February,San Bernadino,CA,Gunshot,Firearm,3.0,3.0,age 20-30,Young,Police Department,Police Department,White
52,52,52,52,23,Male,Black,February,St Louis,MO,Gunshot,No,3.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
53,53,53,53,23,Male,Black,March,Atlanta,GA,Gunshot,Knife,2.0,3.0,age 20-30,Young,Police Department,Police Department,Non White
54,54,54,54,23,Male,Black,February,San Jose,CA,Gunshot,Firearm,1.0,2.0,age 20-30,Young,Police Department,Police Department,Non White
55,55,55,55,23,Male,Black,January,Tulsa,OK,Gunshot,Firearm,2.0,2.0,age 20-30,Young,Police Department,Police Department,Non White
56,56,56,56,23,Male,Hispanic/Latino,March,Pomona,CA,Gunshot,Knife,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
57,57,57,57,23,Male,Black,April,Jennings,MO,Gunshot,Knife,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
58,58,58,58,24,Female,White,March,San Francisco,CA,Gunshot,Firearm,2.0,4.0,age 20-30,Young,Police Department,Police Department,White
59,59,59,59,24,Male,Hispanic/Latino,April,Houston,TX,Gunshot,No,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
60,60,60,60,24,Male,White,February,Peltzer,SC,Gunshot,Firearm,3.0,2.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,White
61,61,61,61,24,Male,White,February,Provo,UT,Gunshot,Knife,1.0,2.0,age 20-30,Young,Police Department,Police Department,White
62,62,62,62,24,Male,White,March,Dublin,NC,Gunshot,Knife,1.0,1.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,White
63,63,63,63,24,Male,Black,March,Santa Clara,CA,Gunshot,Other,1.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
64,64,64,64,24,Male,Hispanic/Latino,May,Hackensack,NJ,Gunshot,Knife,1.0,3.0,age 20-30,Young,Police Department,Police Department,Non White
65,65,65,65,24,Male,Black,April,New York,NY,Gunshot,Knife,4.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
66,66,66,66,24,Male,White,May,Edmond,OK,Gunshot,Knife,5.0,5.0,age 20-30,Young,Police Department,Police Department,White
67,67,67,67,24,Male,White,May,Bossier City,LA,Gunshot,Firearm,,1.0,age 20-30,Young,FBI,FBI,White
68,68,68,68,24,Male,Hispanic/Latino,January,Tahoka,TX,Gunshot,Knife,,2.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,Non White
69,69,69,69,24,Male,Native American,March,Lukachukai,AZ,Gunshot,Firearm,2.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
70,70,70,70,24,Male,Black,January,St Paul,MN,Gunshot,Vehicle,1.0,1.0,age 20-30,Young,Police Department,Police Department,Non White
71,71,71,71,24,Male,Hispanic/Latino,January,Los Angeles,CA,Gunshot,No,4.0,4.0,age 20-30,Young,Police Department,Police Department,Non White
72,72,72,72,24,Male,White,January,Bloomington,MN,Gunshot,Knife,4.0,5.0,age 20-30,Young,Police Department,Police Department,White
73,73,73,73,24,Male,Hispanic/Latino,April,Mission,TX,Gunshot,Firearm,3.0,1.0,age 20-30,Young,Sheriff's Office,Sheriff's Office,Non White
74,74,74,74,25,Male,Hispanic/Latino,March,South Gate,CA,Gunshot,Firearm,3.0,3.0,age 20-30,Young,Police Department,Police Department,Non White
75,75,75,75,25,Female,Black,April,Atlanta,GA,Gunshot,Vehicle,3.0,3.0,age 20-30,Young,Police Department,Police Department,Non White
76,76,76,76,25,Male,White,April,Victoria,TX,Gunshot,Firearm,5.0,4.0,age 20-30,Young,Police Department,Police Department,White
